Unnamed: 0,Brand me,Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price,Gender 
674,"Vivo V17Pro (Glacier Ice White, 128 )",4.5,8,128,6.44,48,13,4100,29499,Female
675,Kechaoda K111,4.1,6,32,4.5,48,,3000,985,Male
676,"Redmi Note 6 Pro (Rose Gold, 64 )",4.5,4,64,6.26,35,5,3000,15990,Female
677,Kechaoda K111,4.1,6,32,4.5,48,,3000,985,Male
678,Nokia 105 ss,4.3,4,4,4.5,64,,3500,3000,Female
679,I Kall K11,3.4,6,64,4.5,48,,3000,599,Male
680,"Redmi Note 8 Pro (Gamma Green, 128 )",4.4,6,128,6.53,64,8,4550,17999,Female
681,"Samsung Galaxy S10 Lite (Prism Blue, 512 )",4.5,8,128,6.7,48,12,4700,47999,Male
682,"Blacerry Evolve (Black, 64 )",3.7,4,64,5.99,38,13,3800,24999,Female
683,"POCO F1 (Steel Blue, 128 )",4.5,6,128,6.18,35,5,3800,18999,Male
684,"Samsung Galaxy A70s (Prism Crush Red, 128 )",4.4,8,128,6.7,64,5,4700,29999,Female
685,"POCO F1 (Graphite Black, 256 )",4.5,8,256,6.18,35,5,3800,22999,Male
686,Megus Ultra,3.9,6,32,4.54,64,,4100,1099,Female
687,"OPPO A9 (Marble Green, 128 )",4.4,4,128,6.53,48,2,3500,16490,Male
688,Jmax M40 Coo of Two,3.8,6,32,4.5,64,,1050,1299,Female
689,Easyfone Star,3.8,6,32,4.7,64,22,2500,3999,Male
690,"Wizphone WP (Black, 16 )",,2,16,5.5,8,,4200,5498,Female
691,Kechaoda A27,4.1,6,32,3.7,64,22,3500,990,Male
692,"Redmi Note 6 Pro (Rose Gold, 64 )",4.5,6,64,6.26,35,5,3000,16675,Female
693,Micax X381,3.8,6,32,4.77,48,,3000,995,Male
694,Micax X381,3.8,6,32,4.77,48,5,4700,959,Female
695,BlackZone ATOM,3,8,64,4.54,48,,3800,699,Male
696,"Vivo Y15 (Burgundy Red, 64 )",4.4,4,64,6.35,38,2,5000,12900,Female
697,I Kall K28 Coo of Two Mobiles,3.4,6,64,4.54,20,,3500,1199,Male
698,I Kall K28 Coo of Two Mobiles,3.4,6,64,4.54,20,5,3500,1299,Female
699,Lava 34 ,4,6,32,4.54,64,,2500,1699,Male
700,"OPPO A9 (Fluorite Purple, 128 )",4.4,4,128,6.53,48,2,3500,16490,Female
701,Lava A1,4.2,12,24,4.77,48,,3500,999,Male
702,"Mi 10 (Twilight Grey, 128 )",4.6,8,128,6.67,26,20,4780,51987,Female
703,"Mi 10 (Coral Green, 256 )",4.6,8,256,6.67,26,20,4780,53990,Male
704,I Kall K25 Coo of Two Mobiles,3.5,6,64,4.5,48,5,3000,1199,Female
705,I Kall K25 Coo of Two Mobiles,3.5,6,64,4.5,48,,3000,1099,Male
706,"Nokia 2.3 (Sand, 32 )",4,2,32,6.2,38,2,3800,9499,Female
707,Good One Magic,4.1,6,32,4.7,48,,3800,1399,Male
708,I Kall K24 New Coo of Two Mobiles,3.6,6,64,4.5,48,5,3000,1099,Female
709,"Huawei Y9 Prime 2019 (Sapphire Blue, 128 )",4.3,4,128,6.59,48,8,3800,16899,Male
710,"Vivo S1 (Diamond Black, 128 )",4.4,6,128,6.38,48,8,4700,19990,Female
711,ITEL magic 1 max,3.9,8,8,4.58,48,,1900,1680,Male
712,"Samsung Galaxy A80 (Ghost White, 128 )",4.4,8,128,6.7,48,8,3000,40900,Female
713,I kall k6300 NEW,3.9,6,32,4.58,48,,3000,1499,Male
714,I kall k6300 NEW,3.9,6,32,4.58,48,,3000,1499,Female
715,I Kall K 54,3.6,6,32,4.5,48,8,3000,639,Male
716,Detel D1 Cha,3.7,6,32,4.5,48,,3000,645,Female
717,I Kall K33 New,3.7,6,64,4.54,48,8,1500,749,Male
718,Nokia 105 SS,4.3,4,4,4.77,64,,3500,1349,Female
719,"Honor 20 (Sapphire Blue, 128 )",4.4,6,128,6.26,48,2,3750,22999,Male
720,"Redmi K20 Pro (Carbon Black, 256 )",4.5,8,256,6.39,48,13,3800,29999,Female
721,I Kall K11 Coo Of Two Mobile,3.4,6,64,4.5,48,,3000,1099,Male
722,Nokia 3310 DS,3.8,4,64,4.54,48,,1200,4277,Female
723,Karbonn K24 Plus Pro,3.8,6,32,4.54,48,,2800,1390,Male
724,Micax X742,3.8,6,32,4.54,25,11,3800,1280,Female
725,Micax X1i-2017,3.9,6,32,4.54,48,13,3000,1350,Male
726,Nokia TA-1010/105,4.3,4,4,4.5,64,14,3500,1269,Female
727,MTR Ferrari,4.1,8,64,4.77,48,,3000,1275,Male
728,"POCO F1 (Armoured Edit, 256 )",4.5,8,256,6.18,35,5,3800,22999,Female
729,I Kall K3312 Coo,3.5,6,64,4.5,48,20,3000,1199,Male
730,"Alcatel 1 (Metallic Blue, 8 )",2.8,1,8,5,8,,2000,4999,Female
731,"Alcatel 1 (Metallic Black, 8 )",2.8,1,8,5,8,,2000,4999,Male
732,"OnePlus 7 (Mirror Grey, 256 )",4.6,8,256,6.41,48,5,3000,36999,Female
733,"OnePlus 7 (Mirror Grey, 128 )",4.6,6,128,6.41,48,5,3000,32999,Male
734,"Samsung Galaxy S10 Lite (Prism White, 128 )",4.5,8,128,6.7,48,12,4700,42999,Female
735,Muphone M380,3.9,6,32,4.4,64,,3500,890,Male
736,"OPPO Reno2 (Luminous Black, 256 )",4.5,8,256,6.5,48,8,3800,38990,Female
737,I Kall K28,3.4,6,64,4.54,20,,3500,639,Male
738,"Samsung Galaxy A50s (Prism Crush Black, 128 )",4.3,4,128,6.4,48,8,3800,18570,Female
739,"OPPO F9 Pro (Twilight Blue, 64 )",4.5,6,64,6.3,48,2,3350,18990,Male
740,Jmax M40,3.7,6,32,4.5,64,,1050,699,Female
741,"Samsung Galaxy A70s (Prism Crush White, 128 )",4.2,6,128,6.7,64,5,4700,25900,Male
742,"Vivo V17Pro (Glacier Ice White, 128 )",4.5,8,128,6.44,48,13,4100,29499,Female
743,Kechaoda K111,4.1,6,32,4.5,48,,3000,985,Male
744,Kechaoda K111,4.1,6,32,4.5,48,,3000,985,Female
745,"LG V30+ (Black, 128 )",4.3,4,128,6,48,13,3000,24999,Male
746,Nokia 105 ss,4.3,4,4,4.5,64,,3500,3000,Female
747,I Kall K11,3.4,6,64,4.5,48,,4700,599,Male
748,"Samsung Galaxy A50 (White, 64 )",4.4,6,64,6.4,48,5,3800,18999,Female
749,"Apple iPhone 11 Pro (Space Grey, 512 )",4.7,8,64,5.8,35,12,3500,140300,Male
750,"Samsung Galaxy S10 Lite (Prism Blue, 512 )",4.5,8,128,6.7,48,12,4700,47999,Female
751,"Samsung Galaxy A70s (Prism Crush Red, 128 )",4.4,8,128,6.7,64,5,4700,29999,Male
752,"Blacerry Evolve (Black, 64 )",3.7,4,64,5.99,38,13,3800,24999,Female
753,"POCO F1 (Steel Blue, 128 )",4.5,6,128,6.18,35,5,3800,18999,Male
754,"POCO F1 (Graphite Black, 256 )",4.5,8,256,6.18,35,5,3800,22999,Female
755,"OPPO A9 (Marble Green, 128 )",4.4,4,128,6.53,48,2,4020,16490,Male
756,Megus Ultra,3.9,6,32,4.54,64,11,4100,1099,Female
757,Jmax M40 Coo of Two,3.8,6,32,4.5,64,,3500,1299,Male
758,Easyfone Star,3.8,6,32,4.7,64,12,2000,3999,Female
759,"Wizphone WP (Black, 16 )",,2,16,5.5,8,,4200,5498,Male
760,Kechaoda A27,4.1,6,32,3.7,64,,3500,990,Female
761,"OnePlus 7 Pro (Nebula Blue, 256 )",4.5,8,256,6.67,48,8,3800,42990,Male
762,"OnePlus 7 Pro (Mirror Grey, 128 )",4.6,6,128,6.67,48,8,3800,42990,Female
763,"Samsung Galaxy S10 Lite (Prism Black, 512 )",4.5,8,128,6.7,48,12,4700,47999,Male
764,InFocus POWER 2,4.1,8,64,4.54,64,,2500,1199,Female
765,"Apple iPhone 8 (Silver, 64 )",4.5,8,64,4.7,35,7,3500,38999,Male
766,"Samsung Galaxy S20+ (Cloud Blue, 128 )",4.5,8,128,6.7,64,1,4700,77999,Female
767,Blacear I7 Trio,3.7,6,32,2,64,,1550,1699,Male
768,Micax X742,3.8,6,32,4.54,25,15,2500,1240,Female
769,Karbonn KX23,4,6,32,4.54,48,11,1900,1399,Male
770,Lava A3,4.2,4,3,4.77,48,,1750,1299,Female
771,Karbonn K451 Power,3.8,6,32,4.54,48,,3000,1349,Male
772,"Apple iPhone 11 Pro Max (Space Grey, 64 )",4.7,8,64,6.5,35,12,3500,117100,Female
773,"Apple iPhone 11 Pro (Silver, 512 )",4.7,8,64,5.8,35,12,3500,140300,Male
774,"Samsung Galaxy S10 (Prism White, 512 )",4.6,8,128,6.1,48,12,3000,563000,Female
775,"OnePlus 6T (Speed Orange, 256 )",4.1,10,25,6.41,48,2,3000,39999,Male
776,Lava A1,4.2,12,24,4.77,48,,3000,1149,Female
777,"Micax Canvas Infinity (Black, 32 )",4.1,3,32,5.7,38,1,2900,9990,Male
778,Lava A1 Josh,4.2,4,64,4.5,64,22,3500,1098,Female
779,Lava A1 Josh,4.2,4,64,4.5,64,,3000,1099,Male
780,Micax X749,4.2,6,32,4.54,48,22,1750,1390,Female
781,I Kall K3312 Coo,3.5,6,64,4.5,48,22,3000,1199,Male
782,Peace P4,3.5,8,25,4.5,48,22,3500,697,Female
783,I Kall k111 new,3.6,6,64,4.54,48,14,3000,699,Male
784,Blacear i7 Trio,3.8,12,24,2,64,14,1550,1690,Female
785,Karbonn K334,3.7,6,32,4.77,48,12,1750,927,Male
786,Snexian Guru 332,,6,32,4.5,64,21,3000,649,Female
787,Snexian Guru 332,,6,32,4.5,64,32,3000,649,Male
788,Snexian Guru 324,,6,32,4.5,64,,3000,649,Female
789,Snexian Guru 324,,6,32,4.5,64,12,3000,649,Male
790,Kechaoda K2,3.9,6,32,4.5,48,,3000,900,Female
791,Jivi R21Plus,4.3,1,16,4.5,48,8,3000,869,Male
792,Jivi R21Plus,4.3,1,16,4.5,48,8,3000,798,Female
793,"Redmi K20 (Glacier Blue, 128 )",4.5,6,128,6.39,48,13,4030,24999,Male
794,Nokia 105,4.2,4,4,4.5,64,13,3500,1575,Female
795,"Moto One (White, 64 )",4.1,4,64,5.9,38,2,3000,14999,Male
796,Nokia 105 SS,4.3,4,4,4.77,64,,3500,1349,Female
797,"Vivo V17Pro (Midnight Ocean Black, 128 )",4.5,8,128,6.44,48,13,4100,29499,Male
798,"LG Q7+ (Black, 64 )",3.4,4,64,5.5,48,5,3000,13999,Female
799,Jivi N3,4.1,6,32,4.54,64,20,3500,949,Male
800,"Samsung Galaxy A50 (Blue, 64 )",4.4,6,64,6.4,48,5,3800,18999,Female
801,Nokia 105,4.2,4,4,4.5,64,13,3500,1599,Male
802,"Vivo Y91i (Ocean Blue, 16 )",4.4,2,16,6.22,38,5,4030,9350,Female
803,Micax X1i-Pop,4.1,4,40,4.77,48,,3000,1080,Male
804,Nokia 3310 DS,3.8,4,64,4.54,48,13,1200,3580,Female
805,Lava 34 ,4,6,32,4.54,64,11,2500,1695,Male
806,Easyfone Amico,3.5,6,32,4.52,48,,3500,2599,Female
807,"Apple iPhone 11 Pro Max (Gold, 64 )",4.7,8,64,6.5,35,12,3500,117100,Male
808,"Black Shark 2 (Shadow Black, 128 )",4.4,6,128,6.39,48,12,3800,31999,Female
809,"Samsung Galaxy S8 Plus (Midnight Black, 64 )",4.6,4,64,6.2,35,8,3500,53990,Male
810,InFocus POWER 2,4.1,8,64,4.54,64,,2500,1390,Female
811,InFocus Vibe 1,3.6,6,32,4.5,48,,3000,898,Male
812,"OPPO A5s (Gold, 64 )",4.3,4,64,6.2,38,2,4230,15656,Female
813,Gfive U229 Coo of Two,3.9,6,32,4.5,64,,3000,1089,Male
814,Nokia 105 SS,4.3,4,4,4.77,64,,3500,1349,Female
815,"Moto One (White, 64 )",4.1,4,64,5.9,38,2,3000,14999,Male
816,Nokia 105,4.2,4,4,4.5,64,13,3500,1575,Female
817,"Redmi K20 (Glacier Blue, 128 )",4.5,6,128,6.39,48,13,3800,24999,Male
818,"LG Q7+ (Black, 64 )",3.4,4,64,5.5,48,5,3000,13999,Female
819,Jivi N3,4.1,6,32,4.54,64,20,3500,949,Male
820,Nokia 105,4.2,4,4,4.5,64,13,3500,1599,Female
821,"Vivo Y91i (Ocean Blue, 16 )",4.4,2,16,6.22,38,5,4030,9350,Male
822,"Samsung Galaxy A50 (Blue, 64 )",4.4,6,64,6.4,48,5,3800,18999,Female
823,Lava 34 ,4,6,32,4.54,64,,2500,1695,Male
824,Nokia 3310 DS,3.8,4,64,4.54,48,15,1200,3580,Female
825,Micax X1i-Pop,4.1,4,40,4.77,48,15,3000,1080,Male
826,Easyfone Amico,3.5,6,32,4.52,48,,3500,2599,Female
827,"Apple iPhone 11 Pro Max (Gold, 64 )",4.7,8,64,6.5,35,12,3500,117100,Male
828,"Samsung Galaxy S8 Plus (Midnight Black, 64 )",4.6,4,64,6.2,35,8,3500,53990,Female
829,"Black Shark 2 (Shadow Black, 128 )",4.4,6,128,6.39,48,12,3800,31999,Male
830,InFocus Vibe 1,3.6,6,32,4.5,48,,3000,898,Female
831,Karbonn K24 Plus Pro,3.8,6,32,4.54,48,12,2800,1299,Male
832,InFocus POWER 2,4.1,8,64,4.54,64,,2500,1390,Female
833,"Alcatel 5V (Spectrum Blue, 32 )",4.4,3,32,6.2,48,1,3800,9790,Male
834,JIVI JV 12M,3.7,10,32,4.5,64,,3500,799,Female
835,Blacear B5 Grip,3.5,6,32,4.5,64,15,1050,799,Male
